mae_te,ev_te,mse_te,r2_te,r_te,p_te,Directory
3.3661381006240845,0.3796146535015594,17.438649793414243,0.3740570746777401,0.6292032679050525,2.569399787418922e-08,AlexNet3D_Dropout_Regression_scorename_outcome_tss_714_rep_1_bs_32_lr_0.0001465718314856265_espat_40
3.2338205034082588,0.4699894014355483,15.624646853000865,0.4698877898588196,0.6993226989453901,3.4988511572185743e-14,AlexNet3D_Dropout_Regression_scorename_outcome_tss_697_rep_0_bs_8_lr_0.0002823980700945028_espat_40
2.711390495300293,0.4600465685708194,15.859291332574594,0.4182451993770495,0.6865624065342463,2.064970270011454e-12,AlexNet3D_Dropout_Regression_scorename_outcome_tss_721_rep_8_bs_16_lr_0.00014150503911354286_espat_40
2.751030033284968,0.2891851396362307,13.182350636820996,0.278762769569488,0.6577943498490909,3.336215343527248e-12,AlexNet3D_Dropout_Regression_scorename_outcome_tss_715_rep_13_bs_8_lr_0.0045736407349125765_espat_40
2.563027572631836,0.4473831895689442,11.696982992847552,0.4010714609994484,0.6843933023495717,2.5776976805768283e-12,AlexNet3D_Dropout_Regression_scorename_outcome_tss_708_rep_5_bs_8_lr_0.00011507826005952159_espat_40
3.2351100047429404,0.4775720554786118,17.785344249281405,0.2389105698345686,0.6910911762561651,6.542490854641712e-15,AlexNet3D_Dropout_Regression_scorename_outcome_tss_693_rep_6_bs_32_lr_0.00013578986888848854_espat_40
3.1230565309524536,0.4023490985101998,14.49730826383408,0.395109142289675,0.6343413273098701,3.954506011203271e-12,AlexNet3D_Dropout_Regression_scorename_outcome_tss_707_rep_14_bs_16_lr_0.00010306315678172372_espat_40
2.9104937314987183,0.4756202647890735,14.713497577015232,0.4726411337663433,0.6896523005785751,2.9321875581234004e-10,AlexNet3D_Dropout_Regression_scorename_outcome_tss_700_rep_9_bs_32_lr_0.00019024108946315036_espat_40
3.0998534560203552,0.3378195862120962,16.41800061048548,0.2887697703140758,0.5998821482175654,1.61856291258249e-07,AlexNet3D_Dropout_Regression_scorename_outcome_tss_710_rep_10_bs_32_lr_0.00015505110733686974_espat_40
4.015814036130905,0.1927631812487537,29.253909518996068,-0.0718903839161446,0.555537172506674,1.8896488231693573e-06,AlexNet3D_Dropout_Regression_scorename_outcome_tss_722_rep_7_bs_32_lr_0.00010714845063781276_espat_40
3.432523441314697,0.3952807717385731,18.64799216954052,0.3315263599521411,0.6352519022582553,2.462596739558449e-10,AlexNet3D_Dropout_Regression_scorename_outcome_tss_708_rep_4_bs_16_lr_0.00010578230268787898_espat_40
2.704100400209427,0.3400257355313696,11.711823820992038,0.3245530198733922,0.6203810131797483,4.5603036986935824e-08,AlexNet3D_Dropout_Regression_scorename_outcome_tss_719_rep_3_bs_32_lr_0.00017144423766524508_espat_40
2.7610480785369877,0.4865161394197507,15.317998418719435,0.4659190201580934,0.6997602737478054,5.133811386034738e-13,AlexNet3D_Dropout_Regression_scorename_outcome_tss_713_rep_12_bs_16_lr_0.0008055079175362148_espat_40
3.566688132286072,0.1833978275472033,18.846076873387894,0.1650280717766522,0.5168069555365569,9.211723959438056e-07,AlexNet3D_Dropout_Regression_scorename_outcome_tss_706_rep_2_bs_16_lr_0.0019415545296264996_espat_40
