,R2,MSE,MAE,ev,r,p
0,0.16647077128820553,24.290476055781372,3.582786410042409,0.1854430223518252,0.4306498082067157,2.5246556593040004e-05
1,0.018030086756142705,30.040195486400787,4.43601941219596,0.040989970508018114,0.20280487008598808,0.061106286505567285
2,0.00019784538982159372,22.980131602904365,3.5639735607768213,0.023624017993990387,0.21581792297102514,0.04596528455895359
3,-0.04416340494533344,19.17177354372525,3.5080100438624258,-0.04385191376939046,-0.008786672545285763,0.9379454550576505
4,-0.06643381650979907,29.08440565923323,4.4878686441694,-0.03324521831607008,0.16759832218817483,0.12754657748412931
5,-0.09002039821330499,20.851917413756286,3.7440149302763097,-0.08338152213474426,-0.10579003619803015,0.3352454160669428
6,-0.07599409238486299,25.386778805998706,3.955521094071238,-0.006560040709680415,0.109819879958608,0.2894040004955151
7,-0.13829200355616966,32.78225775606902,4.253103935427783,0.05479715242254668,0.24014111887030606,0.029773355621445313
8,-0.11293033886381987,30.0256735525536,3.698802035296405,-0.07103472570073288,0.07507128122426962,0.5053593319522164
9,-0.06148997280350166,31.98992524904046,4.67543577214723,-0.008030814708042566,-0.08556547219847033,0.4147858679464339
10,-0.19567863916335404,25.18758980410595,3.976704092025757,-0.10044114381877267,0.07353551347065705,0.4959451110160685
11,-0.011486077536819517,37.047472345471185,4.647702700436771,0.021758229410417607,0.17418097748925632,0.09868553953756601
12,-0.0914307273845032,32.30595685722035,4.446715680290671,-0.0859805384413912,0.11653415977903832,0.2881867754819958
13,0.17320106513216282,15.179757323159304,3.0556257910015945,0.17856814457849746,0.4275899486316927,3.6149314053521465e-05
14,-0.0018509077941424312,24.24228628676886,3.933379311812552,-0.0004409067569317582,0.16016124493174072,0.12104076031360339
