,R2,MSE,MAE,ev,r,p
0,0.09908118289318024,26.25432462513288,3.911287865799465,0.10102117910975195,0.35312233555802003,0.0006880368195552614
1,0.01395002780586374,30.16501170206012,4.369217721806016,0.07101723164805929,0.27160320959139383,0.011418231909437446
2,-0.15976515813289782,26.656829893258827,4.035582832513853,-0.14416414229949193,-0.08195120630353692,0.4531785910845495
3,-0.11135521411757598,20.4054752261845,3.73228382628641,-0.11115143109130554,0.029114862547996535,0.7963947863366365
4,-0.058735164954500485,28.87444353931828,4.463049522581556,-0.00564145714256159,0.1201170455142121,0.2764444130657802
5,0.005050838332932739,19.033219730542932,3.542194594439338,0.024260026481401464,0.16139433630627434,0.1400396019652223
6,-0.09349562274007961,25.799706240302346,3.934370166176245,0.0174119277013024,0.13340509002554102,0.19745789795907714
7,-0.013481002580607804,29.187761447572424,4.152050674252394,0.05654924526417904,0.24909490652802857,0.02402555338713144
8,0.07363881717038867,24.99223670710155,3.6153520277988767,0.08768018337697803,0.31607465367281773,0.00404615285396034
9,-0.008585959841776125,30.395566881669282,4.4325486484650645,0.011152815610938727,0.10656186984421051,0.3093223139065033
10,-0.05370144981845626,22.19676677722523,3.706211423006925,-0.017075911712891356,0.04787617888057005,0.657801243647029
11,0.08341197388111499,33.57166282755219,4.503965454939958,0.12457627805783522,0.35366244378154554,0.0005840113171485051
12,-0.0518253085310183,31.133650708337235,4.282408010146197,-0.05094957722778615,0.0595383206328335,0.5883219953436641
13,-0.039993970957648894,19.09394827559787,3.491358922322591,-0.038829652864157405,-0.01901817150781207,0.8612055365931449
14,0.00012992638109265986,24.194355053898697,3.9177822442305725,0.0037048462093629553,0.06590998150936292,0.5256911395857659
