scorename,epoch,tr_mae,tr_ev,tr_mse,tr_r2,tr_r,tr_p,val_mae,val_ev,val_mse,val_r2,val_r,val_p,loss
outcome,0,25.12374973923645,-0.0007296616801857336,658.5247374459329,-23.120004745870787,-0.19203153662485062,2.83688055855672e-07,24.59539262391627,-0.0004883971519986652,630.0241689837646,-24.122000923601238,-0.1372194300232518,0.2795885862608243,28.017334
outcome,1,22.518025388771836,0.0027891999886778818,534.2081812970844,-18.623670476190018,0.07323103086903747,0.05211358460027818,21.689029421657324,0.006917219500566674,495.2211433715373,-18.824754838053117,0.16424943291757307,0.19465665777653943,47.41088
outcome,2,11.818797286261212,0.11671451541093325,163.74659971470226,-5.01077239472479,0.524198172411243,6.048052248576502e-51,11.164189964532852,0.12700862065699248,147.07311495264747,-4.723174239836956,0.5093244429602246,1.722897456422178e-05,49.378574
outcome,3,4.6654886549169365,0.2830099258998625,37.404988093124985,-0.3769987464749003,0.5851537098626789,6.510823125526683e-66,4.293078899383545,0.2430296829942884,32.45000122626118,-0.1499899471185222,0.5360018376286498,5.00594655425713e-06,34.352028
outcome,4,3.2874398719180715,0.3414099473480908,19.071583738728535,0.3001421271955472,0.6175725405379188,2.9705631647399515e-75,3.0219513177871704,0.34010835082728963,17.44916759035209,0.3391943153352195,0.621459921135104,4.2553715123125315e-08,46.438377
outcome,5,3.39518896558068,0.3611535111483615,20.757289271137232,0.22522978723464748,0.6238145442829659,3.5235983354751124e-77,3.184160590171814,0.28898396297200757,17.525625633176332,0.20932930641299785,0.544012646439793,3.3821917044045336e-06,28.142527
outcome,6,3.572705141522668,0.4028248710887872,23.197473445303263,0.14842675023915064,0.6601130671572024,2.6602541842598876e-89,3.279070883989334,0.3402567665452505,18.658537580707673,0.17252234368430264,0.6004888607880783,1.5609853081108282e-07,36.81409
outcome,7,3.0589811585166236,0.4589425651120157,17.392639343243488,0.3627625569553009,0.7091176336931527,1.244664911791208e-108,3.0536476969718933,0.4078138613532528,17.512399067907268,0.33806152486341634,0.6628078528103233,2.4245548105591364e-09,24.680805
outcome,8,3.386943280696869,0.4888483407347529,17.016339617960647,0.37696209233988953,0.7182334466947948,1.1138036393695859e-112,3.6727928519248962,0.41064109383243075,18.536663849627985,0.20811099126353338,0.645841143512945,8.279533583588036e-09,25.296556
outcome,9,7.900002308867195,0.49577202591140357,73.02075733388347,-1.675759199169586,0.750230288654115,2.922926613680433e-128,8.481298327445984,0.40409781423583413,84.34271714447641,-2.002328328660942,0.6590965224014513,3.1930200113531774e-09,41.08702
outcome,10,2.746070436455987,0.5378241739114205,13.422157927084315,0.5071946533810611,0.7679172160899166,6.204070678588897e-138,3.2501255869865417,0.4379733304349084,16.923770055156524,0.43580189325574414,0.6792735108987376,6.812298328212666e-10,18.879265
outcome,11,9.816669888117097,0.5588222694038998,108.42216360419471,-2.9678826582310545,0.7984804042623214,7.299167389744691e-157,9.846363127231598,0.38998660961122467,114.09292806928724,-3.060084310330299,0.6442166805828045,9.275599186563473e-09,33.75082
outcome,12,8.854977518320084,0.6360887333654024,87.41231415967236,-2.209313378084229,0.8219603229125043,8.790742460974678e-174,9.06771269440651,0.5159168862689023,92.68648677406094,-3.025152434328734,0.7303728085921974,7.425095818964515e-12,26.222181
outcome,13,2.7275718098337,0.6784473463209422,10.992924629146474,0.5963273217345855,0.8554760394874101,8.182766549272344e-203,3.0154818892478943,0.49199983802098946,13.26859198196371,0.3856173104441123,0.7072521962288243,6.462609744666686e-11,14.475589
outcome,14,7.489987443793904,0.6887484975488601,64.61219597636223,-1.3625436972322782,0.8550216069799768,2.261279903010273e-202,7.254544615745544,0.5259521444528188,66.3249606543149,-1.2955577331495216,0.7446221614552675,1.746557194378064e-12,23.835243
outcome,15,2.1757952083240855,0.7479581641203292,8.422016743592321,0.6924365051243503,0.8892374683386756,1.2243730513904898e-240,2.551380455493927,0.49371219415314693,10.995098422513593,0.4755245622709581,0.7054214650993749,7.602462524542874e-11,17.652868
