,R2,MSE,MAE,ev,r,p
0,0.46380222810057914,15.625725758430033,3.2427184180483977,0.47535491808759156,0.7011480610721003,1.9944966052056395e-14
1,0.45245445780844606,16.750386038616735,3.258053977020341,0.4549951404904732,0.6762902564543014,8.949157883641068e-13
2,0.4382955337357014,12.910596858761089,2.6878122501150967,0.4464960300490758,0.6692215851706641,1.875272055909269e-12
3,0.320902437964113,12.468838317628613,2.951290614697358,0.3681486011046332,0.6352842477543685,1.885046061593846e-10
4,0.34165024124449694,17.954898984701735,3.4018518516497926,0.3763468459484891,0.6206673405985349,3.0215432114070026e-10
5,0.43784044147401313,10.75402323383281,2.4782850960527436,0.4382160857455538,0.6840565742488427,5.345130638561098e-13
6,0.44022563656042435,13.2071988559081,2.8123711734416252,0.47461025545461644,0.689818783085997,1.0655711428020836e-14
7,0.214641638546616,22.617939997483624,3.6875961591058575,0.23162773084035515,0.4813719138188937,4.691014282438783e-06
8,0.44325365660062255,15.020422550034457,2.686450432810976,0.4511771496452289,0.6849842377728395,1.7573590540155377e-12
9,0.5507823430046963,13.537988710223127,2.73056966360972,0.5623750655007385,0.752824335682094,3.2575293170577104e-18
10,0.2975582140413481,14.797300032365065,3.0395638040428015,0.30162012115247827,0.5697153702995945,6.915675239878659e-09
11,0.47712296822282096,19.151299068811905,3.2767492610818514,0.48344506190885395,0.6958519075740708,1.9213725027105452e-14
12,0.5337403910576243,13.801116674489823,2.6228182054402738,0.5391425858585002,0.7372884767946899,8.557230391610032e-16
13,0.3752488856209475,11.470225593799654,2.5522907321736197,0.37545320860997444,0.6563661238771141,5.136449286812557e-12
14,0.3617903549461311,15.443077214391367,3.2424478920778856,0.3841166865853164,0.6197942297894097,2.1280763749759523e-11
