,R2,MSE,MAE,ev,r,p
0,0.4637576291890334,15.627025447457964,3.2261824252404034,0.47487328263101247,0.700087577898048,2.2677795639463048e-14
1,0.4527847378031229,16.740282189739567,3.2560295845235463,0.45534489572549064,0.6765465167222213,8.709000069213709e-13
2,0.24323938774069864,17.39389976449265,3.257213682391698,0.25840485692885995,0.508456124843006,5.791388697622688e-07
3,0.32170291867015244,12.454140776276729,2.9501057819314394,0.36899646694007093,0.6352174223493632,1.895862911884944e-10
4,0.34248684508585003,17.93208263630646,3.3984453605279765,0.37722458540371206,0.6211080769764883,2.911248283205978e-10
5,0.43599827991115925,10.789263492487041,2.484011346378662,0.43642570171542394,0.6828595469101255,6.081682333513604e-13
6,0.4399163459581905,13.214496193469015,2.8117564025168518,0.47458715991556755,0.6897889857018633,1.0695084423442888e-14
7,0.2061679780283422,22.861977311617114,3.6764730391513063,0.2261022584844009,0.4760797890236036,6.163547062426382e-06
8,0.44042134861809157,15.09683519861998,2.694255485732473,0.44828923256081765,0.6837020419246712,2.005659448407528e-12
9,0.550819353937052,13.536873318660524,2.7294173600621,0.5628288957806097,0.7523660442870782,3.504128314466344e-18
10,0.2975602060536734,14.797258069593722,3.0395558510269383,0.3016222841890346,0.5697167625310147,6.914961006611475e-09
11,0.47694463870871084,19.157830703689633,3.276955683088113,0.48321905564940404,0.6957004360433907,1.9570330540057693e-14
12,0.5149464519033286,14.357410511800861,2.7382027484318883,0.5174652221084014,0.7268543037612143,3.4015158736185764e-15
13,0.37503418098107066,11.474167500582597,2.551881021140012,0.3752376934621898,0.655997780418539,5.327994158895404e-12
14,0.3617903539306716,15.443077238962946,3.242447899767796,0.38411665977948306,0.6197942083494083,2.1280807152126464e-11
